Edition,AFG,AHO,ALG,ANZ,ARG,ARM,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BER,BLR,BOH,BRA,BUL,BWI,CAN,CHI,CHN,CIV,CMR,COL,CRC,CRO,CUB,CZE,DEN,DJI,DOM,ECU,EGY,ERI,ESP,EST,ETH,EUA,EUN,FIN,FRA,FRG,GBR,GDR,GEO,GER,GHA,GRE,GUY,HAI,HKG,HUN,INA,IND,IOP,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,JAM,JPN,KAZ,KEN,KGZ,KOR,KSA,KUW,LAT,LIB,LTU,LUX,MAR,MAS,MDA,MEX,MGL,MKD,MOZ,MRI,NAM,NED,NGR,NIG,NOR,NZL,PAK,PAN,PAR,PER,PHI,POL,POR,PRK,PUR,QAT,ROU,RSA,RU1,RUS,SCG,SEN,SIN,SLO,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TRI,TUN,TUR,UAE,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,YUG,ZAM,ZIM,ZZX
1896,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,11.0,,7.0,,,33.0,,52.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,6.0
1900,,,,,,,5.0,6.0,,,,,39.0,,,2.0,,,,2.0,,,,,,,,2.0,,6.0,,,,,,2.0,,,,,,185.0,,78.0,,,40.0,,,,,,5.0,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,1.0,,,,,,,,,,,,,,,,,55.0,,,,,,,34.0
1904,,,,,,,,1.0,,,,,,,,,,,,35.0,,,,,,,,9.0,,,,,,,,,,,,,,,,2.0,,,13.0,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,394.0,,,,,,,8.0
1908,,,,19.0,,,,1.0,,,,,31.0,,,5.0,,,,51.0,,,,,,,,,,15.0,,,,,,,,,,,29.0,35.0,,347.0,,,22.0,,3.0,,,,18.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,44.0,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,63.0,,,,,,,
1912,,,,10.0,,,,14.0,,,,,19.0,,,,,,,8.0,,,,,,,,,,84.0,,,,,,,,,,,67.0,25.0,,160.0,,,52.0,,2.0,,,,30.0,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,22.0,,,76.0,,,,,,,,,,,,,7.0,14.0,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,,,101.0,,,,,,,
1920,,,,,,,6.0,,,,,,188.0,,,,7.0,,,16.0,,,,,,,,,,75.0,,,,,,24.0,3.0,,,,49.0,141.0,,107.0,,,,,5.0,,,,,,,,,,,,,,84.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,48.0,,,141.0,1.0,,,,,,,,,,,,21.0,,,,,,,,,,29.0,,,146.0,,,10.0,,,,,,,,,,,,,,193.0,,,,,,,
1924,,,,,11.0,,10.0,4.0,,,,,38.0,,,,,,,20.0,,,,,,,,,,12.0,,,,,,,6.0,,,,52.0,122.0,,66.0,,,,,,,7.0,,20.0,,,,,,,,,,51.0,,1.0,,,,,,,,,,,,,,,,,,,,26.0,,,26.0,1.0,,,,,,5.0,3.0,,,,23.0,3.0,,,,,,,,,,65.0,,,80.0,,,10.0,,,,,,,,,,,,,22.0,198.0,,,,2.0,,,
1928,,,,,32.0,,4.0,4.0,,,,,5.0,,,,,,,33.0,1.0,,,,,,,,,13.0,,,,4.0,,3.0,9.0,,,,25.0,36.0,,55.0,,,72.0,,,,1.0,,20.0,,15.0,,,1.0,,,,,70.0,,8.0,,,,,,,,,,,,,,,,,,,,65.0,,,9.0,1.0,,,,,1.0,18.0,,,,,,6.0,,,,,,,,,,29.0,,,36.0,,,16.0,,,,,,,,,,,,,22.0,84.0,,,,12.0,,,
1932,,,,,4.0,,5.0,5.0,,,,,,,,,,,,38.0,,,,,,,,,,9.0,,,,,,1.0,,,,,29.0,37.0,,34.0,,,38.0,,,,,,32.0,,11.0,,,2.0,,,,,77.0,,31.0,,,,,,,1.0,,,,,,,2.0,,,,,,12.0,,,,2.0,,,,,3.0,19.0,,,,,,5.0,,,,,,,,,,1.0,,,31.0,,,4.0,,,,,,,,,,,,,1.0,181.0,,,,,,,
1936,,,,,11.0,,1.0,50.0,,,,,12.0,,,,,,,22.0,,,,,,,,,,6.0,,,,5.0,,,7.0,,,,26.0,43.0,,36.0,,,210.0,,,,,,42.0,,19.0,,,,,,,,71.0,,21.0,,,,,,,2.0,,,,,,,16.0,,,,,,37.0,,,28.0,1.0,,,,,1.0,9.0,3.0,,,,2.0,1.0,,,,,,,,,,47.0,,,34.0,,,17.0,,,,,,,,2.0,,,,,,92.0,,,,1.0,,,
1948,,,,,12.0,,16.0,4.0,,,,,14.0,,,,12.0,,,6.0,,,,,,,,2.0,,49.0,,,,5.0,,3.0,,,,,29.0,68.0,,56.0,,,,,,,,,60.0,,20.0,,1.0,,,,,,63.0,3.0,,,,,2.0,,,,,,,,,,9.0,,,,,,42.0,,,18.0,,,2.0,,1.0,,1.0,5.0,,1.0,,,4.0,,,,,,,,1.0,,32.0,,,73.0,,,20.0,,,,,,1.0,,12.0,,,,,3.0,148.0,,,,16.0,,,
1952,,,,,6.0,,20.0,3.0,,,,,7.0,,,,3.0,1.0,,4.0,4.0,,,,,,,,,9.0,,,,1.0,,1.0,,,,,40.0,39.0,,31.0,,,40.0,,,,,,101.0,,15.0,,7.0,1.0,,,,,53.0,8.0,12.0,,,,2.0,,,,2.0,,1.0,,,,1.0,,,,,,18.0,,,13.0,3.0,,,,,,4.0,2.0,,,,4.0,14.0,,,,,,,,,,33.0,,,70.0,,,25.0,,,,,,2.0,,3.0,,,,117.0,14.0,130.0,,1.0,,24.0,,,
1956,,,,,2.0,,61.0,4.0,,2.0,,,2.0,,,,1.0,18.0,,19.0,4.0,,,,,,,,,7.0,,,,,,,,,57.0,,26.0,32.0,,45.0,,,,,1.0,,,,64.0,,17.0,,5.0,5.0,,1.0,,,46.0,,24.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,3.0,3.0,14.0,,,,,19.0,,,,,19.0,7.0,,,,,,,,,,3.0,,,34.0,,,7.0,,,,,,,,7.0,,,,169.0,12.0,118.0,,,,23.0,,,
1960,,,,,4.0,,36.0,3.0,,,,,4.0,,,,13.0,7.0,5.0,9.0,,,,,,,,,,23.0,,,,2.0,,14.0,,1.0,88.0,,6.0,11.0,,28.0,,,,1.0,3.0,,,,65.0,,13.0,,4.0,,1.0,,,,88.0,,29.0,,,,,,,,,,,1.0,,,1.0,,,,,,3.0,,,2.0,3.0,14.0,,,,,30.0,2.0,,,,15.0,3.0,,,,,1.0,,,,,11.0,,,7.0,,,22.0,,,,,1.0,,,9.0,,,,169.0,,112.0,,1.0,,17.0,,,
1964,,,,,1.0,,42.0,,,2.0,,,3.0,,,,12.0,10.0,,5.0,,,,,,,,1.0,,12.0,,,,,,,,1.0,115.0,,5.0,31.0,,28.0,,,,1.0,,,,,56.0,,15.0,,2.0,1.0,,,,,50.0,,64.0,,1.0,,3.0,,,,,,,,,,1.0,,,,,,30.0,1.0,,,6.0,16.0,,,,1.0,48.0,,,,,16.0,,,,,,,,,,,6.0,,,15.0,,,55.0,,,,,,6.0,2.0,6.0,,,,174.0,1.0,150.0,,,,15.0,,,
1968,,,,,2.0,,49.0,5.0,,,,,3.0,,,,4.0,26.0,,10.0,,,,1.0,,,,10.0,,16.0,,,,,,,,2.0,,,4.0,27.0,49.0,18.0,51.0,,,,1.0,,,,81.0,,15.0,,5.0,,,,,,32.0,1.0,67.0,,12.0,,2.0,,,,,,,,,,9.0,4.0,,,,,14.0,,,6.0,7.0,13.0,,,,,37.0,,,,,23.0,,,,,,,,,,,13.0,,,9.0,,,29.0,,,,,1.0,,2.0,2.0,,2.0,,188.0,,149.0,,1.0,,29.0,,,
1972,,,,,1.0,,20.0,3.0,,,,,2.0,,,,2.0,22.0,,10.0,,,,,3.0,,,22.0,,1.0,,,,,,1.0,,2.0,,,10.0,22.0,96.0,29.0,148.0,,,1.0,2.0,,,,81.0,,14.0,,3.0,,,,,,25.0,1.0,56.0,,12.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,6.0,1.0,1.0,8.0,14.0,15.0,,,,,46.0,,15.0,,,40.0,,,,,,,,,,,8.0,,,21.0,,,29.0,,,,,,,1.0,1.0,,2.0,,211.0,,155.0,,,,18.0,,,
1976,,,,,,,24.0,1.0,,,,,9.0,1.0,,,3.0,39.0,,20.0,,,,,,,,24.0,,8.0,,,,,,6.0,,,,,6.0,20.0,75.0,32.0,192.0,,,,,,,,55.0,,,,2.0,,,,,,31.0,2.0,41.0,,,,17.0,,,,,,,,,,2.0,1.0,,,,,15.0,,,6.0,27.0,16.0,,,,,73.0,2.0,2.0,1.0,,55.0,,,,,,,,,,,10.0,,,10.0,,,15.0,,1.0,,,,1.0,,,,,,285.0,,155.0,,1.0,,19.0,,,
1980,,,,,,,12.0,5.0,,,,,1.0,,,,9.0,94.0,,,,,,,,,,20.0,,8.0,,,,,,24.0,,4.0,,,9.0,29.0,,45.0,260.0,,,,5.0,1.0,,,61.0,,16.0,,,3.0,,,,,37.0,3.0,,,,,,,,,1.0,,,,,,12.0,4.0,,,,,6.0,,,,,,,,,,50.0,,5.0,,,72.0,,,,,,,,,,,2.0,,,18.0,,2.0,52.0,,,,,,,,,,1.0,,442.0,,,,1.0,,57.0,,16.0,
1984,,,2.0,,,,50.0,3.0,,,,,5.0,,,,37.0,,,86.0,,76.0,1.0,1.0,1.0,,,,,15.0,,1.0,,1.0,,19.0,,,,,12.0,68.0,157.0,72.0,,,,,2.0,,,,,,,,,1.0,,1.0,,,63.0,6.0,49.0,,3.0,,42.0,,,,,,,2.0,,,6.0,,,,,,40.0,5.0,,4.0,23.0,16.0,,,1.0,,,3.0,,2.0,,106.0,,,,,,,,,,,15.0,,,32.0,1.0,,,,1.0,,,1.0,,,3.0,,,,,,333.0,,3.0,,87.0,1.0,,
1988,,1.0,,,13.0,,34.0,1.0,,,,,2.0,,,,28.0,41.0,,21.0,1.0,53.0,,,1.0,1.0,,,,7.0,1.0,,,,,5.0,,,,,4.0,29.0,113.0,53.0,174.0,,,,1.0,,,,44.0,3.0,,,1.0,,,,,1.0,29.0,5.0,20.0,,9.0,,77.0,,,,,,,3.0,,,2.0,1.0,,,,,44.0,,,23.0,24.0,1.0,,,12.0,1.0,21.0,1.0,,,,51.0,,,,,1.0,,,,,,8.0,1.0,,16.0,,,10.0,,1.0,,,,,,2.0,,,,294.0,,193.0,,,,63.0,,,
1992,,,2.0,,2.0,,57.0,6.0,,1.0,,,3.0,,,,14.0,17.0,,44.0,,83.0,,,1.0,,15.0,71.0,,14.0,,,,,,66.0,3.0,3.0,,223.0,7.0,57.0,,50.0,,,198.0,13.0,2.0,,,,45.0,6.0,,3.0,3.0,2.0,,,2.0,,46.0,4.0,47.0,,8.0,,49.0,,,3.0,,13.0,,3.0,2.0,,1.0,2.0,,,,2.0,33.0,11.0,,23.0,15.0,16.0,,,1.0,1.0,42.0,,10.0,1.0,1.0,53.0,3.0,,,,,,6.0,,,,1.0,1.0,,35.0,,,8.0,,1.0,,,20.0,,,6.0,,,,,,224.0,,,,,,,
1996,,,3.0,,20.0,2.0,132.0,3.0,1.0,5.0,,1.0,6.0,,23.0,,64.0,21.0,,51.0,,110.0,,,,1.0,29.0,57.0,13.0,24.0,,,1.0,,,67.0,,3.0,,,4.0,51.0,,26.0,,2.0,124.0,,8.0,,,1.0,43.0,6.0,1.0,,3.0,4.0,,,1.0,,71.0,16.0,43.0,11.0,8.0,,66.0,,,1.0,,12.0,,2.0,3.0,3.0,1.0,1.0,,1.0,,2.0,73.0,26.0,,25.0,9.0,,,,,1.0,21.0,3.0,5.0,1.0,,38.0,5.0,,115.0,,,,2.0,,,,11.0,,3.0,31.0,1.0,,,1.0,2.0,,,1.0,2.0,1.0,6.0,,1.0,34.0,,,260.0,2.0,,,26.0,1.0,,
2000,,,5.0,,20.0,1.0,183.0,4.0,3.0,6.0,1.0,,7.0,,22.0,,48.0,13.0,,31.0,18.0,79.0,,18.0,1.0,2.0,10.0,69.0,9.0,25.0,,,,,,43.0,3.0,8.0,,,5.0,66.0,,55.0,,6.0,119.0,,18.0,,,,53.0,8.0,1.0,,4.0,1.0,,1.0,1.0,,65.0,23.0,43.0,7.0,7.0,1.0,73.0,2.0,1.0,3.0,,17.0,,5.0,,2.0,6.0,,1.0,1.0,,,79.0,8.0,,44.0,4.0,,,,,,24.0,2.0,4.0,,1.0,46.0,5.0,,188.0,,,,3.0,,1.0,,14.0,,6.0,32.0,,,,,3.0,,,5.0,2.0,,5.0,,,35.0,,1.0,248.0,4.0,,1.0,26.0,,,
2004,,,,,47.0,,157.0,8.0,5.0,2.0,,,3.0,,17.0,,40.0,17.0,,17.0,4.0,94.0,,1.0,2.0,,20.0,61.0,12.0,29.0,,1.0,,5.0,1.0,27.0,3.0,7.0,,,2.0,53.0,,57.0,,4.0,149.0,,31.0,,,2.0,40.0,5.0,1.0,,6.0,,,,2.0,,102.0,13.0,94.0,8.0,7.0,,52.0,,,4.0,,3.0,,3.0,,,4.0,1.0,,,,,76.0,8.0,,7.0,6.0,,,17.0,,,12.0,3.0,5.0,,,39.0,10.0,,192.0,14.0,,,5.0,,,,7.0,,10.0,12.0,1.0,,,,8.0,,,9.0,1.0,,10.0,1.0,,48.0,,,264.0,5.0,2.0,,,,3.0,
2008,1.0,,2.0,,51.0,6.0,149.0,3.0,7.0,5.0,,,5.0,,30.0,,75.0,5.0,,34.0,1.0,184.0,,1.0,2.0,,5.0,47.0,7.0,18.0,,2.0,1.0,1.0,,71.0,3.0,7.0,,,5.0,76.0,,77.0,,6.0,101.0,,7.0,,,,27.0,7.0,3.0,,2.0,3.0,,14.0,1.0,,42.0,17.0,51.0,13.0,14.0,2.0,78.0,,,3.0,,5.0,,2.0,1.0,1.0,4.0,4.0,,,1.0,,62.0,24.0,,22.0,14.0,,1.0,,,,20.0,2.0,6.0,,,22.0,1.0,,143.0,,,3.0,5.0,15.0,,1.0,11.0,,10.0,7.0,,,,,4.0,2.0,1.0,4.0,5.0,1.0,8.0,,,31.0,,,315.0,6.0,1.0,1.0,,,4.0,
